Month,Outlier_Type,Box_Index,Box_Time,SW_Corner_X,SW_Corner_Y,Value
3,Bias,2891,2014-03-19 11:10:35,403050,551050,3.0739722840565946
3,Bias,3195,2022-03-25 11:09:56,309050,384050,5.113858559452069
3,Bias,3729,2021-03-20 11:21:31,280050,734050,-4.377383859141332
3,Bias,3730,2021-03-20 11:21:31,290050,734050,-4.056374093147781
3,Bias,3733,2021-03-20 11:21:31,296050,754050,-2.5662912323824116
3,Bias,3753,2022-03-07 11:21:42,283050,737050,3.2702640057760846
3,Bias,3754,2022-03-07 11:21:42,286050,749050,4.2466655228197965
3,Bias,3755,2022-03-07 11:21:42,296050,749050,3.6342115990807997
3,Bias,3756,2022-03-07 11:21:42,271050,764050,3.527589805381581
3,Bias,4012,2021-03-20 11:21:31,269050,694050,-2.7326489798817306
3,Bias,4014,2021-03-20 11:21:31,289050,694050,-2.5731364705097803
3,Bias,4015,2021-03-20 11:21:31,269050,704050,-4.986272604833175
3,Bias,4016,2021-03-20 11:21:31,279050,704050,-3.9952212765012405
3,Bias,4017,2021-03-20 11:21:31,289050,704050,-2.8812799242614346
3,Bias,4018,2021-03-20 11:21:31,299050,707050,-3.3976310402098875
3,Bias,4019,2021-03-20 11:21:31,280050,714050,-4.598923206556492
3,Bias,4020,2021-03-20 11:21:31,298050,717050,-4.43128746407524
3,Bias,4284,2021-03-31 11:03:44,481050,391050,-2.867171747262148
3,Bias,4285,2021-03-31 11:03:44,491050,398050,-3.2414187318715335
3,Bias,4554,2017-03-27 11:10:08,229050,357050,3.599364052488397
3,Bias,4561,2020-03-03 11:10:29,229050,356050,-3.10933887190248
3,Bias,5223,2017-03-27 11:08:57,365050,814050,3.322816073819695
3,Bias,5370,2022-03-25 11:09:08,361050,834050,-3.7587976886256342
3,Bias,5372,2022-03-25 11:09:08,371050,840050,-3.2929256711377093
3,Bias,5494,2017-03-27 11:10:32,229050,214050,3.7267652437241168
3,Bias,5495,2017-03-27 11:10:32,239050,214050,3.6176110639269154
3,Bias,5496,2017-03-27 11:10:32,229050,224050,3.2487826894094383
3,Bias,5679,2017-03-02 11:15:46,368050,658050,3.477879379814283
3,Bias,5684,2017-03-27 11:09:20,376050,671050,7.994679094671483
3,Bias,5772,2022-03-25 11:09:32,376050,671050,4.51729113284614
3,Bias,5789,2014-03-19 11:10:35,323050,421050,6.449472602107903
3,Bias,5790,2014-03-19 11:10:35,328050,434050,3.5693789974296237
3,Bias,5792,2014-03-19 11:10:35,334050,444050,3.684871398041423
3,Bias,6134,2021-03-11 11:28:34,59050,519050,6.251253522438901
3,Bias,7039,2017-03-27 11:10:08,289050,334050,-2.886977275169727
3,Bias,7408,2017-03-27 11:10:32,269050,94050,4.072965162481012
3,Bias,7409,2017-03-27 11:10:32,269050,109050,4.036713869081382
3,Variance,56,2017-03-25 11:20:55,255050,854050,3.0347131218070635
3,Variance,58,2017-03-25 11:20:55,251050,864050,3.2652522344055748
3,Variance,295,2022-03-25 11:10:20,320050,338050,3.007870736118905
3,Variance,332,2022-03-10 11:03:59,499050,477050,2.931260353460359
3,Variance,528,2021-03-31 11:04:08,419050,258050,2.9999255762508734
3,Variance,857,2021-03-31 11:04:32,289050,232050,6.785581903301165
3,Variance,859,2021-03-31 11:04:32,299050,241050,6.047242732264234
3,Variance,978,2018-03-25 10:51:29,511050,313050,2.843485736282564
3,Variance,979,2018-03-25 10:51:29,539050,322050,2.931061218514243
3,Variance,1107,2022-03-28 10:51:56,511050,304050,5.203425769070491
3,Variance,1108,2022-03-28 10:51:56,521050,304050,5.1208048128838035
3,Variance,1109,2022-03-28 10:51:56,509050,314050,5.882286319795244
3,Variance,1110,2022-03-28 10:51:56,528050,318050,3.5848578268910556
3,Variance,1111,2022-03-28 10:51:56,509050,324050,4.75841785621081
3,Variance,1939,2017-03-13 10:57:55,477050,344050,3.3005438749632865
3,Variance,2190,2021-03-20 11:21:31,238050,694050,4.113320059011784
3,Variance,2191,2021-03-20 11:21:31,248050,694050,3.301934023284425
3,Variance,2280,2015-03-24 10:57:42,559050,301050,2.953139335406312
3,Variance,2281,2015-03-24 10:57:42,556050,311050,3.158301066070911
3,Variance,2282,2015-03-24 10:57:42,552050,321050,3.3084312305553527
3,Variance,2607,2022-03-11 10:58:08,560050,324050,3.5396664179884034
3,Variance,2618,2022-03-28 10:51:56,551050,294050,5.836544434235616
3,Variance,2619,2022-03-28 10:51:56,566050,294050,5.015625281115013
3,Variance,2620,2022-03-28 10:51:56,576050,294050,4.9229591837724005
3,Variance,2621,2022-03-28 10:51:56,549050,304050,5.343668747359104
3,Variance,2622,2022-03-28 10:51:56,559050,304050,5.110188529910602
3,Variance,2623,2022-03-28 10:51:56,569050,310050,5.821351517816768
3,Variance,2624,2022-03-28 10:51:56,554050,314050,4.903793825053444
3,Variance,2625,2022-03-28 10:51:56,579050,316050,5.011615727539464
3,Variance,2626,2022-03-28 10:51:56,564050,320050,3.6589675765813605
3,Variance,2627,2022-03-28 10:51:56,549050,324050,6.4076791072436095
3,Variance,2834,2022-03-25 11:09:32,335050,668050,8.199860610409264
3,Variance,2835,2022-03-25 11:09:32,314050,684050,3.6291424219184742
3,Variance,3050,2021-03-22 11:09:33,412050,544050,3.333244159315412
3,Variance,3195,2022-03-25 11:09:56,309050,384050,4.180450867449401
3,Variance,3483,2021-03-31 11:03:44,439050,464050,4.438997000016073
3,Variance,3484,2021-03-31 11:03:44,429050,474050,3.034667278999121
3,Variance,3514,2014-03-12 11:04:29,389050,414050,2.950570602900481
3,Variance,3705,2019-03-31 11:21:15,292050,750050,3.525200379730231
